,userName,toeflScore,greV,greQ,greA,termAndYear,ugCollege,cgpa,univName
11258,ananya1491,106.0,164.0,163.0,4.5,Fall - 2014,Nationl Institute of Technology Jamshedpur,0.9420000000000001,University of Texas Dallas
11261,ananya1491,106.0,164.0,163.0,4.5,Fall - 2014,Nationl Institute of Technology Jamshedpur,0.9420000000000001,North Carolina State University
11263,GSCHNAIDTG,108.0,151.0,162.0,4.0,Spring - 2014,Naval Polytechnical Academy,0.915,Georgia Institute of Technology
11266,sarfarazhusain,111.0,660.0,740.0,3.5,Fall - 2012,NED University Karachi,0.83,Arizona State University
11267,affan56,87.0,430.0,720.0,2.5,Spring - 2013,NED University of Engineering and Technology Karachi Pakistan.,0.81,University of Texas Dallas
11268,affan56,87.0,430.0,720.0,2.5,Spring - 2013,NED University of Engineering and Technology Karachi Pakistan.,0.81,University of Texas Arlington
11269,affan56,87.0,430.0,720.0,2.5,Spring - 2013,NED University of Engineering and Technology Karachi Pakistan.,0.81,University of Illinois Chicago
11271,nsitvar,113.0,162.0,168.0,4.0,Fall - 2015,Netaji Subhas Institute of Technology,0.72,Virginia Polytechnic Institute and State University
11273,saps013,117.0,154.0,169.0,4.0,Fall - 2015,Netaji Subhas Institute of Technology,0.82,University of Texas Dallas
11277,Pranshu Jain,111.0,154.0,168.0,3.5,Fall - 2014,Netaji Subhas Institute of Technology,0.7290000000000001,University of Pennsylvania
11278,arunavadas1,96.0,148.0,160.0,3.0,Fall - 2015,Netaji Subhas Institute of Technology,0.74,University of North Carolina Charlotte
11279,Molecule,117.0,600.0,740.0,3.5,Fall - 2012,Netaji Subhas Institute of Technology,0.767,University of Michigan Ann Arbor
11280,gautam2409,99.0,520.0,740.0,3.0,Fall - 2012,Netaji Subhas Institute of Technology,0.68,University of Illinois Chicago
11281,sayanroy1989,102.0,153.0,161.0,4.0,Fall - 2014,Netaji Subhas Institute of Technology,0.8019999999999999,University of Illinois Chicago
11282,goverdhan_108,114.0,158.0,170.0,4.0,Fall - 2013,Netaji Subhas Institute of Technology,0.7214,University of California San Diego
11283,mastersguy,112.0,163.0,170.0,4.5,Fall - 2014,Netaji Subhas Institute of Technology,0.72,University of California Irvine
11284,gautam2409,99.0,520.0,740.0,3.0,Fall - 2012,Netaji Subhas Institute of Technology,0.68,University of Arizona
11285,saps013,117.0,154.0,169.0,4.0,Fall - 2015,Netaji Subhas Institute of Technology,0.82,SUNY Stony Brook
11286,tarang_16,108.0,151.0,168.0,3.5,Fall - 2014,Netaji Subhas Institute of Technology,0.672,SUNY Stony Brook
11287,gautam2409,99.0,520.0,740.0,3.0,Fall - 2012,Netaji Subhas Institute of Technology,0.68,SUNY Buffalo
11288,mastersguy,112.0,163.0,170.0,4.5,Fall - 2014,Netaji Subhas Institute of Technology,0.72,SUNY Buffalo
11289,saps013,117.0,154.0,169.0,4.0,Fall - 2015,Netaji Subhas Institute of Technology,0.82,SUNY Buffalo
11291,goverdhan_108,114.0,158.0,170.0,4.0,Fall - 2013,Netaji Subhas Institute of Technology,0.7214,Ohio State University Columbus
11293,nsitvar,113.0,162.0,168.0,4.0,Fall - 2015,Netaji Subhas Institute of Technology,0.72,North Carolina State University
11294,sahilnsit10,111.0,152.0,165.0,3.0,Fall - 2014,Netaji Subhas Institute of Technology,0.735,New York University
11296,tarang_16,108.0,151.0,168.0,3.5,Fall - 2014,Netaji Subhas Institute of Technology,0.672,New York University
11298,dibakarb,118.0,159.0,169.0,4.5,Fall - 2014,Netaji Subhas Institute of Technology,0.7495,Georgia Institute of Technology
11299,Molecule,117.0,600.0,740.0,3.5,Fall - 2012,Netaji Subhas Institute of Technology,0.767,Georgia Institute of Technology
11300,Pranshu Jain,111.0,154.0,168.0,3.5,Fall - 2014,Netaji Subhas Institute of Technology,0.7290000000000001,Georgia Institute of Technology
11302,goverdhan_108,114.0,158.0,170.0,4.0,Fall - 2013,Netaji Subhas Institute of Technology,0.7214,Columbia University
11303,codrrex,104.0,152.0,167.0,4.0,Fall - 2014,Netaji Subhas Institute of Technology,0.7656000000000001,Carnegie Mellon University
11304,dibakarb,118.0,159.0,169.0,4.5,Fall - 2014,Netaji Subhas Institute of Technology,0.7495,Carnegie Mellon University
11305,Pranshu Jain,111.0,154.0,168.0,3.5,Fall - 2014,Netaji Subhas Institute of Technology,0.7290000000000001,Carnegie Mellon University
11307,sayanroy1989,102.0,153.0,161.0,4.0,Fall - 2014,Netaji Subhas Institute of Technology,0.8019999999999999,Arizona State University
11308,tarang_16,108.0,151.0,168.0,3.5,Fall - 2014,Netaji Subhas Institute of Technology,0.672,Arizona State University
11309,Geetha89,88.0,146.0,155.0,3.0,Fall - 2013,New Horizon College of Engineering,0.74,University of Texas Dallas
11310,pradeepbk4u,88.0,146.0,156.0,3.0,Fall - 2013,New Horizon College of Engineering,0.8036,University of Texas Dallas
11311,Geetha89,88.0,146.0,155.0,3.0,Fall - 2013,New Horizon College of Engineering,0.74,University of Texas Arlington
11312,pradeepbk4u,88.0,146.0,156.0,3.0,Fall - 2013,New Horizon College of Engineering,0.8036,University of Texas Arlington
11313,arjun.suresh2708,92.0,150.0,159.0,3.0,Fall - 2015,New Horizon College of Engineering,0.79,University of Southern California
11314,pradeepbk4u,88.0,146.0,156.0,3.0,Fall - 2013,New Horizon College of Engineering,0.8036,University of Southern California
11315,Geetha89,88.0,146.0,155.0,3.0,Fall - 2013,New Horizon College of Engineering,0.74,Syracuse University
11316,sarun87,104.0,440.0,770.0,4.0,Fall - 2011,New Horizon College of Engineering,0.7879999999999999,North Carolina State University
11317,Sagarika Raj,98.0,149.0,147.0,3.0,Fall - 2012,New Horizon College of Engineering,1.0,New Jersey Institute of Technology
11319,sarun87,104.0,440.0,770.0,4.0,Fall - 2011,New Horizon College of Engineering,0.7879999999999999,Arizona State University
11320,qianmao,100.0,800.0,670.0,3.5,Fall - 2012,New York Inst Tech,0.935,Texas A and M University College Station
11321,qianmao,100.0,800.0,670.0,3.5,Fall - 2012,New York Inst Tech,0.935,Carnegie Mellon University
11322,sharmavishwas88,110.0,155.0,159.0,3.5,Fall - 2012,NIE,0.83,University of Utah
